TestNo,Username,Started.on,Completed,Time.taken,Grade.6.00,Q1_seed,Q1_problem,Q1_solution,Q1_mistakes,Q1_ans,Q1_validity,Q1_score,Q1_prt,Q2_seed,Q2_problem,Q2_solution,Q2_mistakes,Q2_ans,Q2_validity,Q2_score,Q2_prt,Q3_seed,Q3_problem,Q3_solution,Q3_mistakes,Q3_ans,Q3_validity,Q3_score,Q3_prt,Q4_seed,Q4_problem,Q4_solution,Q4_mistakes,Q4_ans,Q4_validity,Q4_score,Q4_prt,Q5_seed,Q5_problem,Q5_solution,Q5_mistakes,Q5_ans,Q5_validity,Q5_score,Q5_prt,Q6_seed,Q6_problem,Q6_solution,Q6_mistakes,Q6_ans,Q6_validity,Q6_score,Q6_prt,Q1_anticipate,Q2_anticipate,Q3_anticipate,Q4_anticipate,Q5_anticipate,Q6_anticipate
T0,user004,10-10-22 10:10,10-10-22 10:57,46 mins 30 secs,5.0,808626,\(\int{\frac{4}{p}} d{a}\),4*log(abs(p))+c,\({4\cdot \ln \left( \left| p\right| \right)}\),0 + c,score,0,# = 0 | prt1-1-F | prt1-2-F,51133,\({{\left(7\cdot x+4\right)}^5}\),(16807*x^6)/6+9604*x^5+13720*x^4+(31360*x^3)/3+4480*x^2+1024*x+c,\({\frac{16807\cdot x^6}{6}+9604\cdot x^5+13720\cdot x^4+\frac{31360\cdot x^3}{3}+4480\cdot x^2+1024\cdot x}\);\({\frac{6\cdot {\left(7\cdot x+4\right)}^6}{5}+c}\);\({\frac{6\cdot {\left(7\cdot x+4\right)}^6}{7}+c}\),1/42*(7*x+4)^6 + c,score,1,# = 1 | ATInt_true. | prt1-1-T,677736740,\(\int{x^{\frac{8}{5}}} dx\),(5*x^(13/5))/13+c,\({\frac{5\cdot x^{\frac{13}{5}}}{13}}\);\({x^{\frac{13}{5}}+c}\);\({\frac{8\cdot x^{\frac{3}{5}}}{5}}\);\({\frac{13\cdot x^{\frac{13}{5}}}{5}+c}\),x^(13/5)/(13/5 )+ c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,1365000240,\(\int{\frac{8}{x^{\frac{11}{2}}}} dx\),c-16/(9*x^(9/2)),\({-\frac{16}{9\cdot x^{\frac{9}{2}}}}\);\({-\frac{8}{x^{\frac{11}{2}}}}\);\({\frac{16}{9\cdot x^{\frac{9}{2}}}+c}\);\({-\frac{44}{x^{\frac{13}{2}}}}\),-16/9*x^(-9/2)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,78419,\(\int{{\left(6\cdot t+4\right)}^{12}} d{t}\),(6*t+4)^13/78+c,\({72\cdot {\left(6\cdot t+4\right)}^{11}}\);\({\frac{u^{12}+1}{13}}\),1/78*(6*t+4)^13 + c,score,1,# = 1 | prt1-1-T,253600,"\(\int{\frac{6\,x}{{\left(x^2-3\right)}^{\frac{1}{7}}}} dx\)",(7*(x^2-3)^(6/7))/2+c,"\({\frac{7\,{\left(x^2-3\right)}^{\frac{6}{7}}}{2}}\);\({\frac{u^8}{64}+c}\);\({\frac{6}{{\left(x^2-3\right)}^{\frac{1}{7}}}-\frac{12\,x^2}{7\,{\left(x^2-3\right)}^{\frac{8}{7}}}}\)",7/2*(x^2 - 3)^(6/7) + c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,0,-1,-1,-1,-1,-1
T1,user004,10-10-22 14:16,10-10-22 14:35,18 mins 34 secs,3.0,490862,\(\int{\frac{10}{y}} d{a}\),10*log(abs(y))+c,\({10\cdot \ln \left( \left| y\right| \right)}\),10*log*(/y/)+c,invalid,0,!,63333,\({{\left(7\cdot x+9\right)}^2}\),(49*x^3)/3+63*x^2+81*x+c,\({\frac{49\cdot x^3}{3}+63\cdot x^2+81\cdot x}\);\({\frac{3\cdot {\left(7\cdot x+9\right)}^3}{2}+c}\);\({\frac{3\cdot {\left(7\cdot x+9\right)}^3}{7}+c}\),1/21*(7*x+9)^3 + c,score,1,# = 1 | ATInt_true. | prt1-1-T,1204552031,\(\int{x^{\frac{7}{2}}} dx\),(2*x^(9/2))/9+c,\({\frac{2\cdot x^{\frac{9}{2}}}{9}}\);\({x^{\frac{9}{2}}+c}\);\({\frac{7\cdot x^{\frac{5}{2}}}{2}}\);\({\frac{9\cdot x^{\frac{9}{2}}}{2}+c}\),x^(9/2)/(9/2) +c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,1777154411,\(\int{\frac{7}{x^{\frac{3}{2}}}} dx\),c-14/sqrt(x),\({-\frac{14}{\sqrt{x}}}\);\({-\frac{7}{x^{\frac{3}{2}}}}\);\({\frac{14}{\sqrt{x}}+c}\);\({-\frac{21}{2\cdot x^{\frac{5}{2}}}}\),-1/14*(x^(-1/2)) +c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F,310492,\(\int{{\left(3-t\right)}^{11}} d{t}\),c-(3-t)^12/12,\({-11\cdot {\left(3-t\right)}^{10}}\);\({\frac{u^{11}+1}{12}}\),(3-t)^12/12 + c,score,0,# = 0 | prt1-1-F | prt1-2-F,47100,"\(\int{\frac{2\,x}{{\left(x^2-5\right)}^{\frac{1}{3}}}} dx\)",(3*(x^2-5)^(2/3))/2+c,"\({\frac{3\,{\left(x^2-5\right)}^{\frac{2}{3}}}{2}}\);\({\frac{u^4}{16}+c}\);\({\frac{2}{{\left(x^2-5\right)}^{\frac{1}{3}}}-\frac{4\,x^2}{3\,{\left(x^2-5\right)}^{\frac{4}{3}}}}\)",(x^2 -5)^(2/3)/(2/3) +c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,-1,-1,-1,0,0,-1
T2,user006,10-08-22 14:07,10-09-22 0:53,10 hours 45 mins,1.0,397885,\(\int{\frac{9}{r}} d{a}\),9*log(abs(r))+c,\({9\cdot \ln \left( \left| r\right| \right)}\),0,score,0,# = 0 | prt1-1-F | prt1-2-F,833542,\({{\left(4\cdot x+2\right)}^6}\),(4*x+2)^7/28+c,\({\frac{{\left(4\cdot x+2\right)}^7}{28}}\);\({\frac{7\cdot {\left(4\cdot x+2\right)}^7}{6}+c}\);\({\frac{7\cdot {\left(4\cdot x+2\right)}^7}{4}+c}\),1/4*(4*x+2)^(6)+c,score,0,# = 0 | ATInt_generic. | prt1-1-F | ATInt_generic. | prt1-2-F | ATInt_generic. | prt1-3-F | ATInt_generic. | prt1-4-F | ATInt_generic. | prt1-5-F,459169225,\(\int{\sqrt{x}} dx\),(2*x^(3/2))/3+c,\({\frac{2\cdot x^{\frac{3}{2}}}{3}}\);\({x^{\frac{3}{2}}+c}\);\({\frac{1}{2\cdot \sqrt{x}}}\);\({\frac{3\cdot x^{\frac{3}{2}}}{2}+c}\),2/3*x^(3/2)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,591262866,\(\int{\frac{6}{x^{\frac{11}{2}}}} dx\),c-4/(3*x^(9/2)),\({-\frac{4}{3\cdot x^{\frac{9}{2}}}}\);\({-\frac{6}{x^{\frac{11}{2}}}}\);\({\frac{4}{3\cdot x^{\frac{9}{2}}}+c}\);\({-\frac{33}{x^{\frac{13}{2}}}}\),-4/3/(x^9*sqrt(x))+c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F,554202,\(\int{{\left(5-5\cdot z\right)}^{12}} d{z}\),c-(5-5*z)^13/65,\({-60\cdot {\left(5-5\cdot z\right)}^{11}}\);\({\frac{u^{12}+1}{13}}\),_1/5*(_5*z-5 )^12+c,score,0,# = 0 | prt1-1-F | prt1-2-F,514507,"\(\int{\frac{9\,x}{{\left(x^2-4\right)}^{\frac{1}{3}}}} dx\)",(27*(x^2-4)^(2/3))/4+c,"\({\frac{27\,{\left(x^2-4\right)}^{\frac{2}{3}}}{4}}\);\({\frac{u^4}{16}+c}\);\({\frac{9}{{\left(x^2-4\right)}^{\frac{1}{3}}}-\frac{6\,x^2}{{\left(x^2-4\right)}^{\frac{4}{3}}}}\)",(9/2)*(x^2-4)/((2/3)*(x^2-4)^(3/2))+c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F,0,0,-1,0,0,0
T3,user006,10-09-22 8:37,10-09-22 9:10,32 mins 59 secs,3.0,154367,\(\int{\frac{13}{t}} d{a}\),13*log(abs(t))+c,\({13\cdot \ln \left( \left| t\right| \right)}\),13*ln(t)+c,score,0,# = 0 | prt1-1-F | prt1-2-F,800297,\({{\left(3\cdot x+9\right)}^4}\),(81*x^5)/5+243*x^4+1458*x^3+4374*x^2+6561*x+c,\({\frac{81\cdot x^5}{5}+243\cdot x^4+1458\cdot x^3+4374\cdot x^2+6561\cdot x}\);\({\frac{5\cdot {\left(3\cdot x+9\right)}^5}{4}+c}\);\({\frac{5\cdot {\left(3\cdot x+9\right)}^5}{3}+c}\),1/15*(3*x+9)^5+c,score,1,# = 1 | ATInt_true. | prt1-1-T,1237274184,\(\int{x^{\frac{3}{5}}} dx\),(5*x^(8/5))/8+c,\({\frac{5\cdot x^{\frac{8}{5}}}{8}}\);\({x^{\frac{8}{5}}+c}\);\({\frac{3}{5\cdot x^{\frac{2}{5}}}}\);\({\frac{8\cdot x^{\frac{8}{5}}}{5}+c}\),5*x^(8/5)/8+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,9668727,\(\int{\frac{4}{x^{\frac{3}{2}}}} dx\),c-8/sqrt(x),\({-\frac{8}{\sqrt{x}}}\);\({-\frac{4}{x^{\frac{3}{2}}}}\);\({\frac{8}{\sqrt{x}}+c}\);\({-\frac{6}{x^{\frac{5}{2}}}}\),c-2/(x^(1/2)),score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F,799967,\(\int{{\left(2-3\cdot x\right)}^{10}} d{x}\),c-(2-3*x)^11/33,\({-30\cdot {\left(2-3\cdot x\right)}^9}\);\({\frac{u^{10}+1}{11}}\),-1/33*(2-3*x)^11+c,score,1,# = 1 | prt1-1-T,282510,"\(\int{\frac{6\,x}{{\left(x^2-5\right)}^{\frac{1}{7}}}} dx\)",(7*(x^2-5)^(6/7))/2+c,"\({\frac{7\,{\left(x^2-5\right)}^{\frac{6}{7}}}{2}}\);\({\frac{u^8}{64}+c}\);\({\frac{6}{{\left(x^2-5\right)}^{\frac{1}{7}}}-\frac{12\,x^2}{7\,{\left(x^2-5\right)}^{\frac{8}{7}}}}\)",7/2*u^(6/7)+c,score,0.0,# = 0 | ATInt_generic. ATInt_var_SB_notSA. | prt1-1-F | prt1-2-F,0,-1,-1,0,-1,0
T4,user006,10-09-22 9:15,10-09-22 9:43,28 mins 18 secs,5.0,342032,\(\int{\frac{15}{t}} d{a}\),15*log(abs(t))+c,\({15\cdot \ln \left( \left| t\right| \right)}\),15*ln(|t|)+c ,valid,0,!,814158,\({{\left(3\cdot x+8\right)}^4}\),(81*x^5)/5+216*x^4+1152*x^3+3072*x^2+4096*x+c,\({\frac{81\cdot x^5}{5}+216\cdot x^4+1152\cdot x^3+3072\cdot x^2+4096\cdot x}\);\({\frac{5\cdot {\left(3\cdot x+8\right)}^5}{4}+c}\);\({\frac{5\cdot {\left(3\cdot x+8\right)}^5}{3}+c}\),1/15*(3*x+8)^5+c,score,1,# = 1 | ATInt_true. | prt1-1-T,591841338,\(\int{x^{\frac{5}{4}}} dx\),(4*x^(9/4))/9+c,\({\frac{4\cdot x^{\frac{9}{4}}}{9}}\);\({x^{\frac{9}{4}}+c}\);\({\frac{5\cdot x^{\frac{1}{4}}}{4}}\);\({\frac{9\cdot x^{\frac{9}{4}}}{4}+c}\),4/9*x^(9/4)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,299949769,\(\int{\frac{9}{x^{\frac{3}{2}}}} dx\),c-18/sqrt(x),\({-\frac{18}{\sqrt{x}}}\);\({-\frac{9}{x^{\frac{3}{2}}}}\);\({\frac{18}{\sqrt{x}}+c}\);\({-\frac{27}{2\cdot x^{\frac{5}{2}}}}\),-9/(2*x^2)+c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F,351129,\(\int{{\left(2\cdot x+2\right)}^{10}} d{x}\),(2*x+2)^11/22+c,\({20\cdot {\left(2\cdot x+2\right)}^9}\);\({\frac{u^{10}+1}{11}}\),1/22*(2*x+2)^11+c,score,1,# = 1 | prt1-1-T,213097,"\(\int{\frac{2\,x}{{\left(x^2-4\right)}^{\frac{1}{7}}}} dx\)",(7*(x^2-4)^(6/7))/6+c,"\({\frac{7\,{\left(x^2-4\right)}^{\frac{6}{7}}}{6}}\);\({\frac{u^8}{64}+c}\);\({\frac{2}{{\left(x^2-4\right)}^{\frac{1}{7}}}-\frac{4\,x^2}{7\,{\left(x^2-4\right)}^{\frac{8}{7}}}}\)",7/6*(x^2-4)^(6/7)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,0,-1,-1,0,-1,-1
T5,user006,10-09-22 9:53,10-09-22 10:31,37 mins 29 secs,6.0,283889,\(\int{\frac{7}{y}} d{a}\),7*log(abs(y))+c,\({7\cdot \ln \left( \left| y\right| \right)}\),7*ln(|y|)+c,score,1,# = 1 | prt1-1-T,933506,\({{\left(5\cdot x+2\right)}^4}\),125*x^5+250*x^4+200*x^3+80*x^2+16*x+c,\({125\cdot x^5+250\cdot x^4+200\cdot x^3+80\cdot x^2+16\cdot x}\);\({\frac{5\cdot {\left(5\cdot x+2\right)}^5}{4}+c}\);\({{\left(5\cdot x+2\right)}^5+c}\),1/25*(5*x+2)^5+c,score,1,# = 1 | ATInt_true. | prt1-1-T,1002486887,\(\int{x^{\frac{4}{5}}} dx\),(5*x^(9/5))/9+c,\({\frac{5\cdot x^{\frac{9}{5}}}{9}}\);\({x^{\frac{9}{5}}+c}\);\({\frac{4}{5\cdot x^{\frac{1}{5}}}}\);\({\frac{9\cdot x^{\frac{9}{5}}}{5}+c}\),5/9*x^(9/5)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,1883647721,\(\int{\frac{5}{x^{\frac{3}{2}}}} dx\),c-10/sqrt(x),\({-\frac{10}{\sqrt{x}}}\);\({-\frac{5}{x^{\frac{3}{2}}}}\);\({\frac{10}{\sqrt{x}}+c}\);\({-\frac{15}{2\cdot x^{\frac{5}{2}}}}\),c-10/sqrt(x),score,1.0,# = 1 | ATInt_true. | prt1-1-T,202252,\(\int{{\left(1-3\cdot t\right)}^{15}} d{t}\),c-(1-3*t)^16/48,\({-45\cdot {\left(1-3\cdot t\right)}^{14}}\);\({\frac{u^{15}+1}{16}}\),-1/48*(1-3*t)^16+c,score,1,# = 1 | prt1-1-T,603826,"\(\int{\frac{3\,x}{{\left(x^2-4\right)}^{\frac{1}{8}}}} dx\)",(12*(x^2-4)^(7/8))/7+c,"\({\frac{12\,{\left(x^2-4\right)}^{\frac{7}{8}}}{7}}\);\({\frac{u^9}{81}+c}\);\({\frac{3}{{\left(x^2-4\right)}^{\frac{1}{8}}}-\frac{3\,x^2}{4\,{\left(x^2-4\right)}^{\frac{9}{8}}}}\)",12/7*(x^2-4)^(7/8)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,-1,-1,-1,-1,-1,-1
T6,user008,10-10-22 19:44,10-10-22 19:53,8 mins 53 secs,0.0,223571,\(\int{\frac{14}{z}} d{a}\),14*log(abs(z))+c,\({14\cdot \ln \left( \left| z\right| \right)}\),,blank,0,!,988123,\({{\left(10\cdot x+5\right)}^2}\),(100*x^3)/3+50*x^2+25*x+c,\({\frac{100\cdot x^3}{3}+50\cdot x^2+25\cdot x}\);\({\frac{3\cdot {\left(10\cdot x+5\right)}^3}{2}+c}\);\({\frac{3\cdot {\left(10\cdot x+5\right)}^3}{10}+c}\),"2(10.x""""2""""+5x)",invalid,0,!,591841338,\(\int{x^{\frac{5}{4}}} dx\),(4*x^(9/4))/9+c,\({\frac{4\cdot x^{\frac{9}{4}}}{9}}\);\({x^{\frac{9}{4}}+c}\);\({\frac{5\cdot x^{\frac{1}{4}}}{4}}\);\({\frac{9\cdot x^{\frac{9}{4}}}{4}+c}\),"5x""""9/4",invalid,0.0,!,250295998,\(\int{\frac{2}{x^{\frac{7}{2}}}} dx\),c-4/(5*x^(5/2)),\({-\frac{4}{5\cdot x^{\frac{5}{2}}}}\);\({-\frac{2}{x^{\frac{7}{2}}}}\);\({\frac{4}{5\cdot x^{\frac{5}{2}}}+c}\);\({-\frac{7}{x^{\frac{9}{2}}}}\),,blank,0.0,!,756762,\(\int{{\left(4\cdot z+2\right)}^{10}} d{z}\),(4*z+2)^11/44+c,\({40\cdot {\left(4\cdot z+2\right)}^9}\);\({\frac{u^{10}+1}{11}}\),,blank,0,!,420556,"\(\int{\frac{5\,x}{{\left(x^2-7\right)}^{\frac{1}{4}}}} dx\)",(10*(x^2-7)^(3/4))/3+c,"\({\frac{10\,{\left(x^2-7\right)}^{\frac{3}{4}}}{3}}\);\({\frac{u^5}{25}+c}\);\({\frac{5}{{\left(x^2-7\right)}^{\frac{1}{4}}}-\frac{5\,x^2}{2\,{\left(x^2-7\right)}^{\frac{5}{4}}}}\)",,blank,0.0,!,-1,-1,-1,-1,-1,-1
T7,user008,10-11-22 11:34,10-11-22 12:00,26 mins 31 secs,5.0,530661,\(\int{\frac{13}{r}} d{a}\),13*log(abs(r))+c,\({13\cdot \ln \left( \left| r\right| \right)}\),13*log(|r|)+c,score,1,# = 1 | prt1-1-T,249580,\({{\left(10\cdot x+7\right)}^6}\),(10*x+7)^7/70+c,\({\frac{{\left(10\cdot x+7\right)}^7}{70}}\);\({\frac{7\cdot {\left(10\cdot x+7\right)}^7}{6}+c}\);\({\frac{7\cdot {\left(10\cdot x+7\right)}^7}{10}+c}\),(10*x+7)^7/70+c,score,1,# = 1 | ATInt_true. | prt1-1-T,1002486887,\(\int{x^{\frac{4}{5}}} dx\),(5*x^(9/5))/9+c,\({\frac{5\cdot x^{\frac{9}{5}}}{9}}\);\({x^{\frac{9}{5}}+c}\);\({\frac{4}{5\cdot x^{\frac{1}{5}}}}\);\({\frac{9\cdot x^{\frac{9}{5}}}{5}+c}\),5/9*x^(9/5)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,616324780,\(\int{\frac{5}{x^{\frac{9}{2}}}} dx\),c-10/(7*x^(7/2)),\({-\frac{10}{7\cdot x^{\frac{7}{2}}}}\);\({-\frac{5}{x^{\frac{9}{2}}}}\);\({\frac{10}{7\cdot x^{\frac{7}{2}}}+c}\);\({-\frac{45}{2\cdot x^{\frac{11}{2}}}}\),-7/10*x^(-7/2)+c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F,27186,\(\int{{\left(4-6\cdot x\right)}^{14}} d{x}\),c-(4-6*x)^15/90,\({-84\cdot {\left(4-6\cdot x\right)}^{13}}\);\({\frac{u^{14}+1}{15}}\),c-(4-6*x)^15/90,score,1,# = 1 | prt1-1-T,456860,"\(\int{\frac{4\,x}{{\left(x^2-3\right)}^{\frac{1}{4}}}} dx\)",(8*(x^2-3)^(3/4))/3+c,"\({\frac{8\,{\left(x^2-3\right)}^{\frac{3}{4}}}{3}}\);\({\frac{u^5}{25}+c}\);\({\frac{4}{{\left(x^2-3\right)}^{\frac{1}{4}}}-\frac{2\,x^2}{{\left(x^2-3\right)}^{\frac{5}{4}}}}\)",8/3*(x^2-3)^(3/4)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,-1,-1,-1,0,-1,-1
T8,user008,10/20/2022 11:05,10/20/2022 11:47,42 mins 5 secs,4.0,686505,\(\int{\frac{5}{t}} d{a}\),5*log(abs(t))+c,\({5\cdot \ln \left( \left| t\right| \right)}\),5*log(|t|)+c,score,1,# = 1 | prt1-1-T,148292,\({{\left(6\cdot x+5\right)}^3}\),54*x^4+180*x^3+225*x^2+125*x+c,\({54\cdot x^4+180\cdot x^3+225\cdot x^2+125\cdot x}\);\({\frac{4\cdot {\left(6\cdot x+5\right)}^4}{3}+c}\);\({\frac{2\cdot {\left(6\cdot x+5\right)}^4}{3}+c}\),(6*x+5)^4/24+c,score,1,# = 1 | ATInt_true. | prt1-1-T,705367860,\(\int{x^{\frac{1}{3}}} dx\),(3*x^(4/3))/4+c,\({\frac{3\cdot x^{\frac{4}{3}}}{4}}\);\({x^{\frac{4}{3}}+c}\);\({\frac{1}{3\cdot x^{\frac{2}{3}}}}\);\({\frac{4\cdot x^{\frac{4}{3}}}{3}+c}\),3*x^3*sqrt(x)/4+c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F,1883647721,\(\int{\frac{5}{x^{\frac{3}{2}}}} dx\),c-10/sqrt(x),\({-\frac{10}{\sqrt{x}}}\);\({-\frac{5}{x^{\frac{3}{2}}}}\);\({\frac{10}{\sqrt{x}}+c}\);\({-\frac{15}{2\cdot x^{\frac{5}{2}}}}\),-10/sqrt(x)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,101661,\(\int{{\left(3-3\cdot z\right)}^{10}} d{z}\),c-(3-3*z)^11/33,\({-30\cdot {\left(3-3\cdot z\right)}^9}\);\({\frac{u^{10}+1}{11}}\),-(3-3*z)^11/33+c,score,1,# = 1 | prt1-1-T,854318,"\(\int{\frac{4\,x}{{\left(x^2-7\right)}^{\frac{1}{10}}}} dx\)",(20*(x^2-7)^(9/10))/9+c,"\({\frac{20\,{\left(x^2-7\right)}^{\frac{9}{10}}}{9}}\);\({\frac{u^{11}}{121}+c}\);\({\frac{4}{{\left(x^2-7\right)}^{\frac{1}{10}}}-\frac{4\,x^2}{5\,{\left(x^2-7\right)}^{\frac{11}{10}}}}\)",20*(10*sqrt(x^2-7)^9)/9+c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F,-1,-1,0,-1,-1,0
T9,user009,10/13/2022 16:29,10/18/2022 4:29,4 days 12 hours,1.0,898845,\(\int{\frac{6}{z}} d{a}\),6*log(abs(z))+c,\({6\cdot \ln \left( \left| z\right| \right)}\),6*log(abs(z))+c,score,1,# = 1 | prt1-1-T,800134,\({{\left(9\cdot x+3\right)}^2}\),27*x^3+27*x^2+9*x+c,\({27\cdot x^3+27\cdot x^2+9\cdot x}\);\({\frac{3\cdot {\left(9\cdot x+3\right)}^3}{2}+c}\);\({\frac{{\left(9\cdot x+3\right)}^3}{3}+c}\),(81*x^2)+54*x+9+c,score,0,# = 0 | ATInt_generic. | prt1-1-F | ATInt_generic. | prt1-2-F | ATInt_generic. | prt1-3-F | ATInt_generic. | prt1-4-F | ATInt_generic. | prt1-5-F,440273739,\(\int{x^{\frac{2}{3}}} dx\),(3*x^(5/3))/5+c,\({\frac{3\cdot x^{\frac{5}{3}}}{5}}\);\({x^{\frac{5}{3}}+c}\);\({\frac{2}{3\cdot x^{\frac{1}{3}}}}\);\({\frac{5\cdot x^{\frac{5}{3}}}{3}+c}\),,blank,0.0,!,1073098011,\(\int{\frac{6}{x^{\frac{3}{2}}}} dx\),c-12/sqrt(x),\({-\frac{12}{\sqrt{x}}}\);\({-\frac{6}{x^{\frac{3}{2}}}}\);\({\frac{12}{\sqrt{x}}+c}\);\({-\frac{9}{x^{\frac{5}{2}}}}\),,blank,0.0,!,446191,\(\int{{\left(2-3\cdot t\right)}^{14}} d{t}\),c-(2-3*t)^15/45,\({-42\cdot {\left(2-3\cdot t\right)}^{13}}\);\({\frac{u^{14}+1}{15}}\),-(((2-3*t)^5)/45)+c,score,0,# = 0 | prt1-1-F | prt1-2-F,866113,"\(\int{\frac{8\,x}{{\left(x^2-3\right)}^{\frac{1}{10}}}} dx\)",(40*(x^2-3)^(9/10))/9+c,"\({\frac{40\,{\left(x^2-3\right)}^{\frac{9}{10}}}{9}}\);\({\frac{u^{11}}{121}+c}\);\({\frac{8}{{\left(x^2-3\right)}^{\frac{1}{10}}}-\frac{8\,x^2}{5\,{\left(x^2-3\right)}^{\frac{11}{10}}}}\)",{8*x*(10*?(x^2-3)^9)}/(x^2-3),invalid,0.0,!,-1,0,-1,-1,0,-1
